Company,Description,Rating,Category,Response Rate,Average Response Rate,Solution Rate,Average Avaluation,Customer Retention
Sofás Zone,Reasonable,51.1,decoration furniture and appliances,80%,54%,50%,0%,100%
Flama,Excelent,90.0,decoration furniture and appliances,100%,"53,3%",100%,80%,100%
Rowenta,Great,82.2,decoration furniture and appliances,100%,"97,3%","86,4%",60%,"54,5%"
Rainbow Portugal,Good,68.3,decoration furniture and appliances,100%,"79,8%","78,4%","33,8%","20,8%"
VidaXL,Great,87.2,decoration furniture and appliances,100%,100%,100%,"49,2%","48,2%"
Hôma,Great,85.1,decoration furniture and appliances,100%,100%,"98,2%","41,4%","48,3%"
Casika,Great,81.2,decoration furniture and appliances,"88,9%","76,1%","83,3%",75%,80%
Digital Place,Great,88.0,decoration furniture and appliances,100%,88%,100%,65%,50%
Electro Pescador,Good,79.4,decoration furniture and appliances,100%,"78,3%","83,3%",40%,100%
STOCK in,Good,77.2,decoration furniture and appliances,100%,"81,5%","92,3%","36,7%","33,3%"
Beliani,Great,80.1,decoration furniture and appliances,100%,"84,1%","95,9%","41,3%","33,3%"
Cadeiraspro.pt,Good,79.4,decoration furniture and appliances,100%,"82,4%",100%,"31,1%","23,7%"
Kenay Home,Good,76.6,decoration furniture and appliances,50%,"46,3%",100%,"53,3%","66,7%"
Molaflex,Excelent,92.3,decoration furniture and appliances,100%,100%,100%,72%,65%
Colchão Emma,Great,84.1,decoration furniture and appliances,100%,100%,"98,6%","41,3%","36,1%"
O meu Colchão,Great,80.9,decoration furniture and appliances,"92,3%","69,2%","92,3%",54%,70%
Loja das Facas,Good,68.6,decoration furniture and appliances,80%,32%,80%,55%,75%
Tupperware,Weak,23.5,decoration furniture and appliances,0%,0%,0%,90%,100%
Bodum,Unsatisfactory,13.2,decoration furniture and appliances,"16,7%",0%,20%,10%,0%
Artys,Good,70.6,decoration furniture and appliances,80%,4%,80%,80%,100%
Magenta Decoração,Reasonable,55.8,decoration furniture and appliances,60%,"35,3%",60%,30%,100%
Interdesign,Reasonable,49.5,decoration furniture and appliances,80%,41%,"52,6%","41,4%","28,6%"
Capas & Capas,Great,86.8,decoration furniture and appliances,100%,100%,100%,52%,40%
Sellone,Great,83.2,decoration furniture and appliances,100%,"96,8%","88,9%","55,8%","58,3%"
Sensatoferta,Good,79.4,decoration furniture and appliances,"97,4%","87,4%",100%,"30,8%","19,2%"
Master Dental,Great,88.0,health,100%,20%,100%,100%,100%
Clínica Santa Madalena,Great,87.4,health,100%,100%,100%,"45,6%","55,6%"
Smile.Up,Great,80.5,health,"97,4%","96,7%","97,1%","39,1%","18,2%"
Óculos Para Todos,Excelent,98.5,health,100%,100%,100%,90%,100%
Grupo Optivisão,Great,89.9,health,100%,100%,100%,"57,5%","62,5%"
Opticenter,Great,86.8,health,100%,"65,5%",100%,"64,5%","72,7%"
My Pharma Spot,Excelent,93.4,health,100%,100%,100%,"72,5%",75%
Wayfarma,Great,86.3,health,100%,80%,"83,3%",84%,100%
Wells,Good,78.7,health,100%,100%,90%,35%,"34,6%"
Cintramédica,Good,65.5,health,100%,100%,75%,20%,0%
Trofa Saúde,Reasonable,58.5,health,100%,"99,4%","53,1%","28,2%","27,8%"
Lusíadas Saúde,Reasonable,42.6,health,100%,"96,2%","17,7%","36,7%","38,2%"
Acústica Médica,Great,86.4,health,100%,100%,100%,"46,7%","44,4%"
Auditiv,Great,82.9,health,100%,100%,"97,4%","41,7%","29,2%"
O Meu Doutor Reabilitação Auditiva Portugal,Good,76.7,health,100%,100%,100%,"11,3%",0%
Hospital de Lamego,Great,82.6,health,100%,"70,5%","94,7%","53,3%","66,7%"
Hospital Distrital de Chaves,Good,77.1,health,100%,"97,7%","76,9%",60%,50%
Centro Hospitalar Trás os Montes e Alto Douro,Good,73.8,health,100%,97%,75%,45%,50%
Asminhaslentes.pt,Weak,38.7,health,60%,18%,40%,0%,100%
Alensa,Weak,33.9,health,60%,54%,20%,"43,3%","33,3%"
Visão e Visual,No data,,health,100%,90%,100%,30%,0%
Essilor,Good,69.8,health,100%,"97,8%",60%,"59,4%","62,5%"
ZEISS Vision Care,Weak,34.4,health,"41,7%",0%,"41,7%",36%,40%
Shamir Optical,No data,,health,0%,0%,0%,10%,0%
Affidea Portugal,Excelent,91.2,health,100%,"98,5%",95%,73%,80%
Dr. Well's,Good,74.1,health,100%,100%,"88,2%",25%,"12,5%"
Ecco Salva,Good,73.7,health,100%,"68,3%","83,3%",45%,50%
Posturarte,Great,87.8,health,100%,"85,3%",100%,50%,75%
Quirumed,Good,74.2,health,98%,"72,5%","95,7%","25,4%","19,2%"
Tempur,Good,73.1,health,100%,"61,7%","66,7%",70%,100%
INEM,Reasonable,47.6,health,"70,9%","26,2%",49%,47%,50%
Palvidas,Unsatisfactory,2.6,health,0%,"2,5%",0%,15%,0%
Ambulâncias Força de Viver,Unsatisfactory,1.5,health,0%,0%,0%,10%,0%
Unilabs,Reasonable,49.0,health,"60,8%","35,7%",51%,"45,6%",52%
LabMED Saúde,Reasonable,42.8,health,100%,"97,3%",20%,28%,40%
SYNLAB,Weak,24.8,health,"17,2%",0%,"17,2%","48,6%","71,4%"
BebéCord,Good,75.6,health,"98,9%","85,3%","87,6%","35,4%","37,8%"
Bayer Portugal,Reasonable,40.3,health,"83,3%","64,2%","41,7%",10%,0%
Pfizer Portugal,Weak,34.0,health,"33,3%",20%,"33,3%",40%,50%
Bebé4D,Good,77.3,health,100%,"57,7%","95,3%","48,1%","37,5%"
Radis,Weak,37.0,health,40%,4%,"33,3%",55%,75%
CENEU,Weak,28.1,health,"38,5%","18,5%","38,5%",15%,0%
Casa de Saúde São Mateus,Weak,35.6,health,100%,"48,6%","16,7%",0%,100%
Residências Montepio,Weak,32.0,health,"16,7%",0%,"16,7%",80%,100%
Sanfil,Weak,28.3,health,"41,7%","1,7%","41,7%",20%,0%
Centro de Saúde de Carnaxide,Reasonable,57.4,health,"62,5%","12,5%","62,5%","53,3%",100%
Centro de Saúde de Estremoz,Weak,36.8,health,"16,7%","16,7%","16,7%",95%,100%
Centro de Saúde de Rio Tinto,Weak,35.9,health,"33,3%",6%,"35,7%",52%,60%
Quirónprevención,Good,76.7,health,100%,100%,"85,7%",32%,40%
Acção Contínua,Good,76.5,health,100%,100%,100%,10%,0%
AtlantiCare,Good,73.0,health,100%,"76,7%",100%,10%,0%
Óptica24,Good,68.9,health,"77,8%","32,2%","62,5%",100%,100%
Fábrica de Óculos do Cacém,Good,64.1,health,"62,5%","31,3%","66,7%",79%,80%
Edel-Optics.pt,Reasonable,49.5,health,60%,10%,60%,"46,7%",50%
CMD Bolhão - Ortodontia,Good,61.5,health,85%,53%,70%,30%,"55,6%"
Centro Ortodôntico Avenida da Liberdade,Weak,33.8,health,70%,"27,5%",35%,"26,3%","12,5%"
Clínica Dentária Egas Moniz,Weak,31.0,health,25%,"8,8%",25%,"53,3%","66,7%"
Zurich,Good,77.6,auto life insurance and health plans,100%,100%,"92,3%","27,3%","23,3%"
Allianz,Good,76.7,auto life insurance and health plans,100%,100%,"89,4%","29,6%","25,4%"
Ageas Seguros,Good,76.5,auto life insurance and health plans,100%,100%,"89,5%","28,9%","23,6%"
Seguro Directo,Good,70.6,auto life insurance and health plans,100%,100%,"80,9%","23,2%","16,9%"
NSeguros,Reasonable,55.2,auto life insurance and health plans,100%,"94,5%","48,6%","27,3%","26,7%"
Seguros Logo,Reasonable,51.8,auto life insurance and health plans,"80,8%","62,9%",63%,15%,"5,6%"
Saúde Prime,Great,81.6,auto life insurance and health plans,100%,100%,100%,"27,5%",25%
Agilcare,Great,80.2,auto life insurance and health plans,100%,100%,"96,2%","33,3%","20,8%"
Sorriso Mais,Great,80.1,auto life insurance and health plans,100%,100%,"95,8%","27,7%","30,8%"
Médis,Great,87.3,auto life insurance and health plans,100%,100%,"97,5%",50%,"60,9%"
MGEN Saúde,Great,86.7,auto life insurance and health plans,100%,100%,100%,51%,40%
AdvanceCare,Good,72.0,auto life insurance and health plans,"97,3%",58%,"91,2%","33,2%","29,7%"
April,Great,82.8,auto life insurance and health plans,100%,67%,100%,"51,7%",50%
Real Vida Seguros,Good,72.5,auto life insurance and health plans,100%,"98,7%","78,9%","32,5%","33,3%"
Aegon Santander Portugal,Good,64.1,auto life insurance and health plans,100%,"2,9%","96,4%","22,1%","21,4%"
SPB Ibérica,Great,82.4,auto life insurance and health plans,100%,"97,5%","89,1%","49,6%","58,3%"
SNG Garantia Automóvel,Good,71.4,auto life insurance and health plans,"87,5%","66,3%","85,7%","32,5%",50%
GTS Garantia Automóvel,Good,61.1,auto life insurance and health plans,100%,79%,70%,20%,"12,5%"
Solera Portugal,Reasonable,47.8,auto life insurance and health plans,"66,7%","25,3%","53,3%","37,5%",50%
DEKRA CLAIMS,Weak,26.5,auto life insurance and health plans,50%,"3,3%",20%,40%,50%
Dualperi,Weak,20.8,auto life insurance and health plans,"28,6%","14,3%","28,6%",10%,0%
Câmara Municipal da Nazaré,Excelent,90.9,services and public administration,100%,94%,100%,45%,50%
Câmara Municipal de Alcochete,Great,81.2,services and public administration,100%,94%,80%,"47,5%",75%
Câmara Municipal de Lagos,Good,74.6,services and public administration,"92,3%","6,5%","92,3%",60%,50%
Imprensa Nacional Casa da Moeda,Excelent,93.8,services and public administration,100%,"94,2%","96,2%","77,5%",85%
IEFP,Great,89.4,services and public administration,100%,"90,2%",97%,49%,"56,3%"
IMT,Great,82.1,services and public administration,100%,100%,"77,9%","54,1%","65,6%"
ADSE,Good,63.4,services and public administration,"81,8%","47,7%","66,2%",45%,"55,3%"
Caixa Geral de Aposentações,Weak,25.8,services and public administration,"23,1%","3,6%","25,7%","51,7%","58,3%"
Centro Nacional de Pensões,Unsatisfactory,17.3,services and public administration,"15,7%","1,3%","16,3%","38,6%","51,4%"
Autoridade Tributária e Aduaneira,Excelent,90.8,services and public administration,100%,"97,8%","97,1%","50,4%","57,4%"
DGEG,Great,87.5,services and public administration,100%,100%,"86,2%","62,9%","76,8%"
ANSR,Great,87.3,services and public administration,100%,"94,7%","86,6%","65,1%",59%
EMEM,Great,83.3,services and public administration,100%,100%,"66,7%",100%,0%
MatosinhosHabit,Great,81.8,services and public administration,100%,"89,2%","81,8%",50%,"87,5%"
Ágora,Reasonable,46.4,services and public administration,"66,7%","18,9%",50%,35%,"16,7%"
SEF,Unsatisfactory,16.7,services and public administration,"14,9%","4,6%",16%,"33,3%","50,9%"
Polícia Municipal do Porto,Unsatisfactory,14.6,services and public administration,"10,5%","10,5%","11,1%","35,7%","28,6%"
PSP,Unsatisfactory,12.1,services and public administration,"11,9%","2,2%","11,5%","24,2%","12,5%"
UBER,Reasonable,43.4,public transport hire and driving,"98,6%","88,2%","17,1%",43%,"52,7%"
ANTRAL,Weak,37.3,public transport hire and driving,"98,9%","81,9%","6,6%",42%,55%
FREE NOW,Weak,37.1,public transport hire and driving,37%,"17,8%","41,7%","41,3%","37,5%"
Galp,Great,88.0,public transport hire and driving,100%,100%,"98,3%","55,3%","55,8%"
Repsol,Great,80.7,public transport hire and driving,100%,100%,"85,4%","49,5%","55,4%"
Prio Energy,Good,74.8,public transport hire and driving,100%,100%,"77,8%","43,8%","43,1%"
SMTUC,Great,81.9,public transport hire and driving,"97,1%","61,3%",100%,43%,"65,2%"
STCP,Good,69.4,public transport hire and driving,100%,"92,7%","70,9%","38,6%","42,9%"
TST - Transportes Sul do Tejo,Good,64.4,public transport hire and driving,"99,1%","37,8%",86%,"25,4%","20,5%"
Metro de Lisboa,Reasonable,41.3,public transport hire and driving,"95,8%","58,9%","15,9%","52,4%","70,6%"
Metro do Porto,Weak,34.0,public transport hire and driving,"36,6%","13,5%","32,4%","48,3%","48,6%"
Refer,Weak,31.0,public transport hire and driving,20%,0%,20%,60%,100%
BeRent - Rent a Car,Good,76.8,public transport hire and driving,100%,"96,7%",100%,15%,0%
Sixt,Good,76.0,public transport hire and driving,"98,3%","95,1%",94%,"22,4%","15,2%"
Discovercars.com,Good,74.9,public transport hire and driving,100%,40%,100%,"42,5%",25%
Ubirider,Great,89.6,public transport hire and driving,100%,100%,"92,2%","73,2%",75%
Andante,Good,72.7,public transport hire and driving,100%,"74,5%",80%,"47,5%","43,8%"
Navegante,Unsatisfactory,10.0,public transport hire and driving,0%,0%,0%,0%,100%
Globalvia,Good,65.4,public transport hire and driving,"91,7%","21,7%","83,3%","47,1%","42,9%"
Scutvias,Reasonable,54.2,public transport hire and driving,"95,2%","47,1%","47,6%","58,8%",50%
Portvias,Weak,35.7,public transport hire and driving,75%,"26,3%","28,6%",0%,100%
Busy Transportes,No data,,public transport hire and driving,100%,35%,0%,100%,100%
Carrinho de Esferas,No data,,public transport hire and driving,25%,5%,25%,100%,100%
Rodinhas,No data,,public transport hire and driving,75%,0%,50%,60%,100%
Rodoviária do Lis,Good,67.7,public transport hire and driving,"72,7%","48,2%","72,7%","62,5%",75%
Yellow Bus / Aerobus,Good,67.0,public transport hire and driving,100%,"72,9%","57,1%",50%,100%
Rodoeste,Reasonable,58.8,public transport hire and driving,"77,8%","27,8%","72,2%",25%,70%
Jump,Good,74.8,public transport hire and driving,100%,"64,3%","82,1%","56,7%","55,6%"
ACCIONA Motosharing,Weak,33.8,public transport hire and driving,"42,9%",10%,"42,9%","27,5%",25%
Bird,Unsatisfactory,10.8,public transport hire and driving,"11,4%","2,3%","11,4%","13,8%","15,4%"
Escolas de Condução Bordalo Norte,Good,69.8,public transport hire and driving,100%,60%,"66,7%",50%,100%
Segurança Máxima - Escolas de Condução,Weak,32.3,public transport hire and driving,44%,36%,"37,5%","17,8%","11,1%"
Escola de Condução Radical,Weak,27.8,public transport hire and driving,"33,3%","16,7%",40%,"13,3%",0%
Loures Parque,Reasonable,55.1,public transport hire and driving,"71,4%","27,1%","83,3%",15%,0%
Datarede,Reasonable,41.6,public transport hire and driving,"92,3%","63,8%","29,2%","32,2%","33,3%"
CPE - Companhia de Parques de Estacionamento,Weak,35.5,public transport hire and driving,"36,4%","8,2%","36,4%",50%,50%
Atlantic Ferries,Weak,21.8,public transport hire and driving,100%,15%,0%,30%,50%
Transtejo,Unsatisfactory,8.6,public transport hire and driving,"5,7%","0,6%","6,1%","25,6%","11,1%"
Rentdouro,Unsatisfactory,1.5,public transport hire and driving,0%,0%,0%,10%,0%
CODE,Great,83,fashion and jewelery shopping,"88,9%","85,6%","77,8%","82,5%",100%
Mike Davis,Good,71.5,fashion and jewelery shopping,100%,"50,8%","91,8%","32,6%","30,4%"
Throttleman,Good,68.9,fashion and jewelery shopping,100%,"41,4%","85,7%","43,3%","33,3%"
Sacoor Brothers,Good,65.1,fashion and jewelery shopping,96%,"72,8%","65,2%",50%,"44,4%"
Desigual,Good,63.8,fashion and jewelery shopping,"66,7%","17,8%",75%,"68,3%","66,7%"
Marques Soares,Good,61.6,fashion and jewelery shopping,"81,8%","41,8%","63,6%","54,3%","71,4%"
Forte Store,Reasonable,55.8,fashion and jewelery shopping,100%,55%,60%,"28,3%","33,3%"
Norte Moda,Reasonable,55.2,fashion and jewelery shopping,100%,95%,"33,3%",45%,75%
Suits Inc,Reasonable,49.7,fashion and jewelery shopping,75%,39%,"55,6%","28,6%","42,9%"
Lanidor,Reasonable,45.4,fashion and jewelery shopping,100%,95%,"33,3%",30%,0%
Adolfo Dominguez,Reasonable,45.1,fashion and jewelery shopping,20%,4%,50%,50%,100%
MO Online,Reasonable,42.4,fashion and jewelery shopping,"46,9%","23,1%","46,9%","38,8%",50%
Farfetch,Reasonable,40.9,fashion and jewelery shopping,"33,3%","2,7%","33,3%",70%,100%
Kiabi,Weak,39.9,fashion and jewelery shopping,"59,1%","22,7%","40,9%","31,5%","53,8%"
Cortefiel,Weak,39.8,fashion and jewelery shopping,41%,"12,8%","44,4%","37,6%","58,8%"
Hugo Boss Portugal & Companhia,Weak,38.9,fashion and jewelery shopping,"41,7%",10%,"41,7%","44,3%","57,1%"
Lion Of Porches,Weak,37.2,fashion and jewelery shopping,"35,7%","20,7%","41,7%","42,2%","33,3%"
Fred Perry,Weak,35.3,fashion and jewelery shopping,"87,5%","38,8%","37,5%","13,3%",0%
Giovanni Galli,Weak,31.3,fashion and jewelery shopping,"51,2%","27,3%","26,8%",38%,30%
C&A Modas,Weak,31.1,fashion and jewelery shopping,"83,3%",56%,"7,5%",44%,40%
Springfield,Weak,29.7,fashion and jewelery shopping,"31,1%","13,6%","30,8%","36,3%","37,5%"
Pedro Del Hierro,Weak,29.5,fashion and jewelery shopping,"33,3%","6,7%","33,3%",40%,25%
Under Blue,Weak,26.7,fashion and jewelery shopping,"88,9%","43,3%","11,1%",12%,40%
MANGO,Weak,26.3,fashion and jewelery shopping,"23,6%","7,4%","25,4%",40%,"41,5%"
Ana Sousa,Weak,26,fashion and jewelery shopping,30%,"4,5%",30%,"26,7%","33,3%"
Massimo Dutti,Weak,24.8,fashion and jewelery shopping,"16,7%",12%,"17,9%","45,6%","55,6%"
Uterqüe,Weak,23.7,fashion and jewelery shopping,"29,2%","9,6%","29,2%",25%,10%
GUESS,Weak,23.5,fashion and jewelery shopping,"56,2%","14,4%","22,1%",21%,15%
Ralph Lauren Fashion,Weak,20.8,fashion and jewelery shopping,"14,3%","36,4%","15,4%",28%,20%
Zara,Unsatisfactory,19,fashion and jewelery shopping,"12,5%",4%,"12,6%",38%,"51,4%"
Stradivarius,Unsatisfactory,18.8,fashion and jewelery shopping,"16,7%","6,1%","16,8%","30,4%","32,1%"
Shop1One,Unsatisfactory,16.2,fashion and jewelery shopping,"11,1%","7,8%","11,1%","33,3%","33,3%"
Lacoste,Unsatisfactory,15.8,fashion and jewelery shopping,"20,8%",10%,"13,6%",25%,"16,7%"
Morgan de Toi,Unsatisfactory,15.2,fashion and jewelery shopping,"22,2%","2,2%","22,2%",10%,0%
H&M,Unsatisfactory,13.8,fashion and jewelery shopping,"11,5%","8,5%",12%,"27,5%","12,5%"
Punt Roma,Unsatisfactory,13.5,fashion and jewelery shopping,"13,6%","4,5%","13,6%",20%,"16,7%"
Scalpers,Unsatisfactory,11.5,fashion and jewelery shopping,"16,7%",0%,"16,7%",10%,0%
Primark,Unsatisfactory,11.1,fashion and jewelery shopping,"7,4%",0%,"7,4%","27,5%",25%
Calvin Klein,Unsatisfactory,10,fashion and jewelery shopping,0%,0%,0%,0%,100%
Tacedaio,Unsatisfactory,10,fashion and jewelery shopping,0%,0%,0%,0%,100%
GANT,Unsatisfactory,10,fashion and jewelery shopping,"8,3%",0%,10%,"16,7%","16,7%"
Decenio,Unsatisfactory,6.3,fashion and jewelery shopping,10%,7%,0%,28%,0%
Lefties,Unsatisfactory,6.2,fashion and jewelery shopping,"3,1%","0,7%","3,2%","19,6%","12,3%"
Mr Blue,Unsatisfactory,5.2,fashion and jewelery shopping,"27,3%","6,4%",0%,10%,0%
Tommy Hilfiger,Unsatisfactory,1.5,fashion and jewelery shopping,0%,0%,0%,10%,0%
Natura Selection,Unsatisfactory,1.5,fashion and jewelery shopping,0%,0%,0%,10%,0%
Sfera,Unsatisfactory,1.5,fashion and jewelery shopping,0%,0%,0%,10%,0%
Promod,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
KAOÂ,No data,N/A,fashion and jewelery shopping,100%,85%,50%,100%,100%
Cheyenne,No data,N/A,fashion and jewelery shopping,100%,100%,100%,100%,100%
Ponto Negro,No data,N/A,fashion and jewelery shopping,0%,0%,0%,100%,100%
Luisa de Sá,No data,N/A,fashion and jewelery shopping,100%,100%,50%,10%,0%
Sahoco,No data,N/A,fashion and jewelery shopping,75%,75%,50%,"42,5%",50%
Carrol,No data,N/A,fashion and jewelery shopping,100%,0%,100%,20%,100%
L'Bouvardia,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Abilini,No data,N/A,fashion and jewelery shopping,0%,0%,0%,10%,0%
Alexandra & Figueiredo,No data,N/A,fashion and jewelery shopping,0%,0%,0%,100%,0%
Saint-Trop,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Blanco,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Versace Jeans Couture,No data,N/A,fashion and jewelery shopping,0%,0%,0%,10%,0%
SPRY,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Belle Biju,No data,N/A,fashion and jewelery shopping,100%,35%,100%,75%,100%
Confecções Boucosil,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Labrador,No data,N/A,fashion and jewelery shopping,100%,0%,50%,10%,100%
Giorgio Armani Fashion,No data,N/A,fashion and jewelery shopping,0%,100%,0%,0%,100%
Armani Outlet,No data,N/A,fashion and jewelery shopping,50%,0%,50%,10%,0%
Falconeri,No data,N/A,fashion and jewelery shopping,100%,100%,100%,10%,0%
Ferrache,No data,N/A,fashion and jewelery shopping,0%,0%,0%,10%,0%
Schon,No data,N/A,fashion and jewelery shopping,50%,0%,50%,10%,0%
SMK Denim & Company,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Morais Fashion,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Forecast,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Elisabetta Franchi,No data,N/A,fashion and jewelery shopping,0%,0%,0%,10%,0%
Fashion Clinic,No data,N/A,fashion and jewelery shopping,100%,0%,100%,40%,0%
Chanel,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
"Jorge Dias, Lda",No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Cadena,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Dior,No data,N/A,fashion and jewelery shopping,0%,0%,0%,40%,100%
BestSecret,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Bela Prenda Barcelos,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Pop King,No data,N/A,fashion and jewelery shopping,100%,0%,100%,40%,100%
Paco Rabanne,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Aruak,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Glam Fashion Store,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Loja CR7,No data,N/A,fashion and jewelery shopping,50%,0%,50%,10%,0%
Just for Her,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Top Queens,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Diesel Fashion,No data,N/A,fashion and jewelery shopping,0%,75%,0%,10%,0%
Dielmar,No data,N/A,fashion and jewelery shopping,0%,0%,0%,10%,0%
Speciale,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
GLOBE,No data,N/A,fashion and jewelery shopping,0%,0%,0%,100%,100%
Burberry,No data,N/A,fashion and jewelery shopping,0%,0%,0%,100%,100%
Stefanel,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Needen,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
Lois,No data,N/A,fashion and jewelery shopping,100%,70%,0%,100%,100%
21pr Concept.Store,No data,N/A,fashion and jewelery shopping,0%,0%,0%,0%,100%
